Model,Feature,Importance
Pooled,internet_use,0.45470658
Pooled,reg_kyc_prop,0.13909924
Pooled,educ,0.063481115
Pooled,num_providers,0.057808682
Pooled,age,0.048881173
Pooled,inc_q,0.046513297
Pooled,reg_cons_prot,0.041522734
Pooled,wgt,0.040364407
Pooled,urbanicity,0.038517114
Pooled,reg_index,0.036104012
Harmonized,internet_use,0.41736582
Harmonized,reg_kyc_prop,0.11718664
Harmonized,educ,0.06982602
Harmonized,num_providers,0.06957901
Harmonized,country_code_TZA,0.045040876
Harmonized,reg_cons_prot,0.04418914
Harmonized,age,0.043957803
Harmonized,inc_q,0.038991895
Harmonized,wgt,0.037285518
Harmonized,urbanicity,0.036436614
Expert_KEN,internet_use,0.3745287
Expert_KEN,educ,0.13734178
Expert_KEN,age,0.1160231
Expert_KEN,female,0.1121958
Expert_KEN,inc_q,0.09292925
Expert_KEN,wgt,0.0855653
Expert_KEN,urbanicity,0.08141603
Expert_KEN,reg_index,0.0
Expert_KEN,reg_cons_prot,0.0
Expert_KEN,reg_kyc_prop,0.0
Expert_TZA,internet_use,0.5248597
Expert_TZA,urbanicity,0.08807989
Expert_TZA,educ,0.0807561
Expert_TZA,inc_q,0.07968824
Expert_TZA,wgt,0.07883136
Expert_TZA,age,0.07859588
Expert_TZA,female,0.06918882
Expert_TZA,reg_index,0.0
Expert_TZA,reg_cons_prot,0.0
Expert_TZA,reg_kyc_prop,0.0
Expert_UGA,internet_use,0.4794324
Expert_UGA,inc_q,0.10081558
Expert_UGA,age,0.09499471
Expert_UGA,wgt,0.09175243
Expert_UGA,educ,0.09021496
Expert_UGA,urbanicity,0.07610984
Expert_UGA,female,0.06668001
Expert_UGA,reg_index,0.0
Expert_UGA,reg_cons_prot,0.0
Expert_UGA,reg_kyc_prop,0.0
